"Player","Fire","Tilt"
"1random","14 ± 9","-16 ± 9"
"Annawel","19 ± 9","-7 ± 9"
"Arabicfalcon","10 ± 9","-13 ± 9"
"ARMCOMPOSER","11 ± 9","-13 ± 9"
"Artur0208","0 ± 9","3 ± 9"
"AverageRecord","17 ± 9","-15 ± 9"
"BahadirOzen","14 ± 9","-16 ± 9"
"barzed","14 ± 9","-19 ± 9"
"Bigfish1995","6 ± 9","-11 ± 9"
"DanielNaroditsky","4 ± 9","-2 ± 9"
"Duhless","-1 ± 9","-3 ± 9"
"erichansen","5 ± 9","-10 ± 9"
"Firouzja2003","19 ± 9","-15 ± 9"
"Genghis_K","8 ± 9","-9 ± 9"
"GHANDEEVAM2003","6 ± 9","-6 ± 9"
"gmjlh","20 ± 9","-27 ± 8"
"GMSrinath","12 ± 9","-19 ± 9"
"Grischuk","2 ± 9","-2 ± 9"
"Hikaru","10 ± 9","-3 ± 9"
"HomayoonTofighi","13 ± 9","-12 ± 9"
"Illingworth","15 ± 9","-8 ± 9"
"Jospem","-1 ± 9","-2 ± 9"
"KhalilMousavi77","15 ± 9","-8 ± 9"
"kleinebeer98","15 ± 9","-2 ± 9"
"limitlesss9","12 ± 9","-6 ± 9"
"Lordillidan","11 ± 9","-7 ± 9"
"LOVEVAE","9 ± 9","-13 ± 9"
"LyonBeast","4 ± 9","-5 ± 9"
"MichaelRoiz","9 ± 9","-21 ± 9"
"Micki-taryan","14 ± 9","-7 ± 9"
"mishanick","-3 ± 9","-7 ± 9"
"Msb2","4 ± 9","-8 ± 9"
"Mykola-Bortnyk","-2 ± 9","-2 ± 9"
"nihalsarin","12 ± 9","0 ± 9"
"Oleksandr_Bortnyk","14 ± 9","-7 ± 9"
"penguingm1","5 ± 9","-15 ± 9"
"Polish_fighter3000","5 ± 9","-6 ± 9"
"Rafa-Nadal","1 ± 9","-8 ± 9"
"samhawkins","7 ± 9","-5 ± 9"
"Shant_Sargsyan","2 ± 9","-4 ± 9"
"SomePatzer","9 ± 9","-8 ± 9"
"sparkleflake127","19 ± 9","-12 ± 9"
"spectralsoul","7 ± 9","-15 ± 9"
"TigranLPetrosyan","7 ± 9","-7 ± 9"
"ViIIagra","-1 ± 9","4 ± 9"
"want2lose","5 ± 9","-14 ± 9"
"Wkurogane","11 ± 9","-12 ± 9"
"wonderfultime","4 ± 9","-7 ± 9"
"xxysoul6","8 ± 9","-4 ± 9"
"Zhigalko_Sergei","12 ± 9","-14 ± 9"
